,place_id,name,address,rating,contact_number,coordinates_lat,coordinates_lng
161,ChIJE0xKwtTdVTcRVRqFaHqmAGA,Mini Fire Station,"X8J5+F5R DBL, Mini Fire Service, 1700, Bangladesh",4.4,01755-630094,23.9812367,90.3078846
162,ChIJ1-E26FjaVTcRBy8d_CNfEO8,Gazipur Fire Station,"2C3G+456, Uttar Chhayabithy Road, Gazipur 1700, Bangladesh",4,02-49273252,24.0027764,90.4254062
163,ChIJed61-0u3VTcRafPI8rWlN-0,"Fire Service & Civil Defence Station, Adamjee EPZ, Narayanganj","MGH8+XRJ, Narayanganj, Bangladesh",4.8,01758-045151,23.6799714,90.51702259999999
164,ChIJk6mZ9iznVTcRvA2sFtj8EYs,Sarabo Modern Fire Service and Civil Station,"X7RV+J6F, Zirani Kashimpur Road, Bangladesh",5,01901-020872,23.99156379999999,90.2930416
165,ChIJCXGb7ROxVTcRIup7nTH-QZ0,"Pagla Land and River Fire Service and Civil Defence Station, Narayanganj","JFX9+57F, Narayanganj, Bangladesh",4.3,02-47670005,23.6479397,90.4681782
166,ChIJu2AwVADdVTcRyyFXTUm7xaw,Konabari Fire Station,"2856+P2W, Bangladesh",5,01901-020878,24.0093644,90.3100845
167,ChIJq_J6CPqwVTcREdRzOyy35Qc,"BSCIC Fire Station, Fatullah","Shashongoan, JFGH+HFM, নারায়ণগঞ্জ, Bangladesh",4.5,01754-052575,23.6264634,90.47866479999999
168,ChIJH81Ys2-xVTcRVSiX2diPVVE,Hazigonj Fire Station,"JGM7+9J3, Kella Road, Narayanganj, Bangladesh",4.1,01730-002311,23.633385,90.514033
169,ChIJq3IIo6fzVTcRRMPFuoJgCsk,"Fire Service and Civil Defence Station, Singair","R46J+35W, Bangladesh",3.7,01722-075055,23.8102431,90.13044459999999
170,ChIJB1ry5p6xVTcRx-FpuxiE5hg,Bandar Fire Serveice,"JG85+6PW, Wilson Road, Kadamrasul 1410, Bangladesh",4.1,01730-002313,23.6156246,90.5093162
171,ChIJvwOLgqSxVTcRbRGUbCCaR7U,Mondal Para Fire Service Station,"JG52+RRH, Narayanganj, Bangladesh",4.6,01730-002310,23.609551,90.5021163
172,ChIJw__Tmg-xVTcRTDZJf2NCyVo,"Fire Service and Civil Defence Station, Narayanganj","JG52+RV6, Narayanganj, Bangladesh",4.5,01730-002310,23.60953709999999,90.5021481
173,ChIJY8PqLSW9VTcR85Nv_57qTZ8,Fire Service and Civil Defence Sirajdikhan,"H9M7+MJH, Bangladesh",5,01703-662110 ext. 102,23.584176,90.3641155
174,ChIJw7Z6aoK4_DkRQxCM8GXET3I,"Fire Service & Civil Defence Station, nawabganj","C38V+673, Bangladesh",5,01901-023281,25.4155063,89.0931695
175,ChIJyVNIfX1G4zkRveaiIM5Iu5k,Fire Service Office,"রংপুর সড়ক, Kishoreganj 5320, Bangladesh",4.5,01901-023319,25.8960092,89.0254934
176,ChIJfwqBKp1P4zkRl8YkU7HspMM,Taraganj Fire Service & Civil Defense,"R263+9F5, Saidpur Rd, Kursha, Bangladesh",4.6,01878-102090,25.810895,89.003739
177,ChIJA1zCd3cw4zkRcEBYKL_s2QY,Gangachara Fire Service & Civil Defence Station,"R6W9+RFQ, Rangpur - Barabil Rd, Gangachara, Bangladesh",4.3,01315-157135,25.8470783,89.21874450000001
178,ChIJya15KTdL4zkRzOE9WtGXy20,Badarganj Fire Service and Civil Defence Station,"M29R+FHV, Road, Badarganj, Bangladesh",4.9,01901-023235,25.6687267,89.04141779999999
179,ChIJDwUUbes84zkRWzFKHocx0jk,Kaliganj Fire Station,"X6CF+5JJ, Gegra to Tushbhander Rd, Dalagram, Bangladesh",4.6,01901-023365,25.97046,89.22402459999999
180,ChIJe9RhRBJR4zkRjD135t5JD40,Saidpur Fire Service and Civil Defense,"QVJR+8QM, Saidpur, Bangladesh",4.1,01901-023311,25.7808266,88.89193709999999
181,ChIJ0bCDFRtD4zkRtYEsnHXL6Y4,Fire Service and Civil Defense Jaldhaka,"2277+H7J, Dimla - Jaldhaka Rd, Jaldhaka 5330, Bangladesh",5,01901-023317,26.0139648,89.0131335
182,ChIJr2wdUeQt4zkRqyVsi8f24NI,"Fire Service & Civil Defence, Rangpur","P7W5+WJM, Fire Station Rd, Rangpur 5400, Bangladesh",4.4,01732-707172,25.7473355,89.25905449999999
184,ChIJtc3_bDRb4zkRsF4WbC50lcc,Uttara Epz Fire Station,"VV58+85J, Bangladesh",5,01901-023309,25.8583349,88.8653983
186,ChIJoZP8hiov4zkRwHXNwTbnte0,"Haragach Fire Service And Civil Defense Station, Haragach Kaunia Rangpur","25°48'13.6""N 89°19'13 E, R83C+H76, 8 Palash - Ghorashal Road, Haragach 1611, Bangladesh",4.5,01901-023241,25.8038146,89.3203815
187,ChIJEfh3x0pZ4zkRLDl01x0Z7K8,Fire Service and Civil Defense Nilphamari,"WRRW+GMQ, শাকামাছা সড়ক, Nilphamari 5300, Bangladesh",5,01730-009105,25.9413375,88.84674439999999
188,ChIJtXH5uDat_DkRNvIq_IB4inY,Fire Service and Civil Defense Parbatipur,"MW29+P73, Parbatipur, Bangladesh",4.5,01901-023259,25.6517625,88.91816449999999
189,ChIJu_C8AWon4zkRLJrDZ2IDcOo,Aditmari Fire Service and Civil Defense,"Aditmari Upazila Helth Complex, Lalmonirhat - Phulbari Rd, Bhadai, Bangladesh",4.8,01901-023369,25.9259927,89.34291139999999
190,ChIJWwMzxm3W4jkRgB8qajO5V04,Kaunia Fire Service Station,"QC9C+W55, Rangpur - Kurigram Hwy, Kaunia, Bangladesh",4.3,01901-023239,25.7697666,89.42049449999999
191,ChIJ22gjZo0T4zkRhYNPzaeWXEo,"Fire Service & Civil Defence, Hatibandha","548G+5F5, Lalmonirhat - Phulbari Rd, Goddimari, Bangladesh",5,01901-023367,26.1653849,89.1262388
192,ChIJ_TQPt6yq5DkRhfUis7Hcx_U,Chirirbandar Fire Station,"MQ5J+9R2, Bangladesh",4.2,01901-023265,25.6583842,88.782029
212,ChIJRdPv2lKn5DkR5TFhhpoiniA,খানসামা উপজেলায় ফায়ার সার্ভিস ও সিভিল ডিফেন্স,"WPMG+V7J, Khansama-Joygonj Bazar Rd, Bangladesh",2.7,01796-080039,25.934713,88.7256403
213,ChIJ60g_rg_Z4jkRV3u06HiU_2M,Fire Service and Civil Defense Lalmonirhat,"WC5X+643, Telipara Rd, Lalmonirhat Sadar 5500, Bangladesh",4.3,01901-023359,25.9080103,89.4478093
214,ChIJi8nwE5zR_DkRf-Gs1BV3FJs,Mithapukur Fire Station,"25°32'59. 89°16'51.0""E, UNO Office Building 1, Dhaka - Dinajpur Hwy, দূর্গাপুর, Bangladesh",4.4,01901-023243,25.5483408,89.2811529
215,ChIJn2BuEwth4zkRYv8f1R_tjcs,Bangladesh Fire Service and Civil Defense,"4R4H+7WW, Domar-Jaldhaka Rd, Domar, Bangladesh",4.2,01901-023313,26.1057321,88.8298382
216,ChIJwZ7JF3Vl4zkRon7y-GYBaJE,Fire Service and Civil Defense Dimla,"5W69+5Q8, Dimla- Dangar Hat Rd, Dimla 5350, Bangladesh",N/A,01789-886030,26.1604054,88.91943979999999
217,ChIJLe94mCkr_TkRbV9w4R9Azao,Pirgachha Fire Service and Civil Defence,"MC49+RF3, Pirgachha, Bangladesh",4.5,01901-023245,25.6570005,89.4186636
218,ChIJqwj7yiew_DkRJt7I1jVLs90,Phulbari Fire Service and Civil Defense Station,"GW3V+FG6, Road, Bangladesh",4.5,01901-023261,25.5036542,88.94375509999999
219,ChIJaw0TN16l5DkRNvob_h_PqeM,"Fire Service & Civil Defience Station, Birganj","RMX2+RRC, Birganj - Kaharol Rd, Bangladesh",4.5,01901-023279,25.8495591,88.65200809999999
220,ChIJgQo6-GGf5DkRF80C7l3iNOM,দেবীগঞ্জ ফায়ার সার্ভিস,"Panchagarh District, Debiganj, Bangladesh",4.3,01714-737272,26.1127931,88.7572541
221,ChIJZQZe3UrR4jkRHcyXIFFJANY,"Fire Service, Rajarhat","QGJV+63C, Unnamed Road, Rajarhat, Bangladesh",5,01901-023349,25.7805736,89.54265389999999
222,ChIJB0zrY6Ox5DkRXpKW1ky0wLU,Kaharole Fire Station,"QJJ3+59X, Kharole Dinajpur Road, Bangladesh",4.3,01901-023275,25.780489,88.6034908
223,ChIJu2Pudp_F4jkRMnKqDjz29eM,Fire Station,"WHP8+9MF, Road, Borovita, Bangladesh",5,01723-976767,25.9359347,89.5666801
224,ChIJVVXFaMGL_DkRzXgBGL5G8xM,"Fire Brigade and Civil Defence Office, Akkelpur","Fire Brigade and Civil Defence Office, Z5478, Bangladesh",3.9,01901-022301,24.9681695,89.03297909999999
225,ChIJzxKrm9Zt_DkRLilATEhIy2c,Atrai Fire Service,"JX8C+49C, Natore - Naogaon Hwy, Atrai, Bangladesh",4.6,01719-735399,24.6153029,88.9709048
226,ChIJvdhnwDll_DkRRlmAgCso2To,Raninagar Fire Service and Civil Defense Station,"PXR6+QGR, Raninagar, Bangladesh",4.4,01311-499084,24.7419966,88.96127
227,ChIJRxHQSo5z_DkRhnHBYEluSHM,Bagmara Fire service station,"HVJF+X5X, Bangladesh",5,01755-370570,24.5824759,88.87297699999999
228,ChIJqyo4iKdk_DkRGB3iWFDqA54,Naogaon Fire Service & Civil Defence Station,"RX42+7PP, R545, Naogaon, Bangladesh",4.8,0741-62000,24.8057132,88.951821
229,ChIJtSfUXfNh_DkRLbAawLCE2YA,"Fire Service & Civil Defence, Adamdighi","R3G4+Q5F, Shibpur, Bangladesh",3.7,01901-022387,24.8269324,89.0554366
230,ChIJWWlQnd4T_DkRnQibdI0uhZU,Naldanga Upozila Fire Service Station,"FXW2+295, Naogaon Highway, Naldanga, Bangladesh",4.7,01901-022297,24.4950207,88.95099139999999
231,ChIJdUZvnI5F_DkR7bDo3ZEebDE,Nandigram Fire Station,"J6WR+X45, Bangladesh",5,01304-171736,24.6473767,89.2403724
232,ChIJf5PM-ZJf_DkRI3X7IAM7fC4,"Fire Service & Civil Defense Station, Dupchanchia, Bogura","R545, 5880, Bangladesh",4,01747-165062,24.8644769,89.1580881
233,ChIJ66aCp28R_DkRVw4XzgZ0gUc,"Fire Service and Civil Defense Station, Natore","CX6R+QHX, Dhaka - Rajshahi Hwy, Nator, Bangladesh",4.2,01901-022283,24.4119907,88.99148029999999
234,ChIJc378R_CF-zkRpEB8zZ3J338,Manda fire station,"QPG3+92X, Bangladesh",5,01901-022265,24.7759751,88.7025982
235,ChIJMcWqN22F-zkRgmKoT-8T2-w,Manda Fire Service and Civil Defense Station,"QMFX+H8M, Proshadpur 6511, Bangladesh",5,01901-022268,24.77396169999999,88.6982959
236,ChIJhX-YnQ1X_DkRz7ZMBBZtcYA,"Fire Service And Civil Defence Station, Kahaloo, Bogura","R7V9+J7C, Bangladesh",4.8,01751-522260,24.8440564,89.2681272
237,ChIJKYwetvj1-zkRk_IOCulhddM,Durgapur Fire Service,"CQQ8+R3M, Bangladesh",4.9,01733-216532,24.43958580000001,88.7651589
238,ChIJIafqRjEJ_DkRpa81liPFVk8,Puthia Fire Service Station,"9R9X+RVV, Dhaka - Rajshahi Hwy, Bangladesh",4.1,01730-002512,24.3696243,88.8496673
239,ChIJS1GMoj1T_DkRuFAbD3xslyc,"Fire Service & Civil Defence Station, Shajahanpur, Bogura","Q89X+C7X, Bogura - Natore Hwy, Kharna, Bangladesh",4.5,01901-022413,24.7686165,89.3482275
240,ChIJ60rWS36N-zkRp541IgXs7VE,Mohanpur Fire Service And Civil Defence Station,"HMC2+9Q5, Bangladesh",4.8,01311-989783,24.5708952,88.6519825
242,ChIJI8YPpWF_-zkRgAMGFQe1iU8,Mohadevpur Fire Station,"WPHX+3P3, Main Road, Mohadevpur, Bangladesh",5,01798-341413,24.92764050000001,88.7493068
243,ChIJQ16hlGkZ_DkRCrxNO1HaWoA,BONPARA KALIKAPUR FIRE STATION,"836H+39W, Rajshahi - Pabna Hwy, Bangladesh",5,01700-663677,24.3102332,89.07844089999999
264,ChIJU0GrM4M6_DkREXpMqXklGeI,"Fire Service & Civil Defence Station, Gurudaspur","969V+7C5, Gurudaspur, Bangladesh",5,01767-159999,24.3681254,89.2435963
265,ChIJ4cOEXMay_TkRQCOrVqivDzM,Bangladesh Fire Service and Civil Defense,"MCP5+5XF, Dhaka - Rangpur Hwy, Sherpur, Bangladesh",4.7,01730-002332,24.68543720000001,89.4099342
